dateTime,value,user_id
2024-01-01,3450,1
2024-01-02,4980,1
2024-01-03,6595,1
2024-01-04,7140,1
2024-01-05,5740,1
2024-01-06,5950,1
2024-01-07,13870,1
2024-01-08,13740,1
2024-01-09,16955,1
2024-01-10,12930,1
2024-01-11,12055,1
2024-01-12,11070,1
2024-01-13,15695,1
2024-01-14,10125,1
2024-01-15,15840,1
2024-01-16,12070,1
2024-01-17,13300,1
2024-01-18,7170,1
2024-01-19,12755,1
2024-01-20,13740,1
2024-01-21,6940,1
2024-01-22,11260,1
2024-01-23,15240,1
2024-01-24,8835,1
2024-01-25,7410,1
2024-01-26,9515,1
2024-01-27,7585,1
2024-01-28,11370,1
2024-01-29,10400,1
2024-01-30,4030,1
